iter	RMSE
0	9.607959832
1	9.294783521
2	9.02563191
3	8.729431524
4	8.485000731
5	8.215524548
6	7.993486801
7	7.772854357
8	7.524511628
9	7.29301662
10	7.07210491
11	6.885257418
12	6.691786672
13	6.483182207
14	6.288021073
15	6.099156614
16	5.912388843
17	5.740961347
18	5.574160692
19	5.416842181
20	5.26481926
21	5.12460834
22	4.970939178
23	4.813878909
24	4.663019597
25	4.529155155
26	4.410004713
27	4.277345412
28	4.152850273
29	4.039800875
30	3.926464884
31	3.833327061
32	3.726751315
33	3.627193321
34	3.541185315
35	3.440755442
36	3.347447512
37	3.251762687
38	3.174598543
39	3.081971618
40	3.003674504
41	2.918292238
42	2.840999268
43	2.771314516
44	2.702458954
45	2.646491177
46	2.578610084
47	2.517802116
48	2.455123006
49	2.394663776
50	2.338297304
51	2.284707716
52	2.229067808
53	2.170767082
54	2.115154367
55	2.066652566
56	2.014995848
57	1.968726268
58	1.919590468
59	1.873955148
60	1.824213406
61	1.784473148
62	1.741199737
63	1.698155552
64	1.661126673
65	1.626252649
66	1.586865949
67	1.548403654
68	1.513569768
69	1.475694796
70	1.441410738
71	1.413403025
72	1.379760899
73	1.359309252
74	1.334582722
75	1.303908171
76	1.27704498
77	1.255248524
78	1.229713105
79	1.201485649
80	1.179263429
81	1.15484851
82	1.136742894
83	1.120830874
84	1.098634341
85	1.080271741
86	1.060921134
87	1.042700963
88	1.020731502
89	1.001563519
90	0.9881898224
91	0.9767202744
92	0.9613254912
93	0.9525670516
94	0.9395899946
95	0.9300014316
96	0.9209372222
97	0.9027228644
98	0.8850239699
99	0.8732154728
100	0.8651339424
101	0.8520370186
102	0.8371076622
103	0.8235561457
104	0.809509298
105	0.8024057132
106	0.7928416196
107	0.7793089282
108	0.766257827
109	0.7607500099
110	0.7562313002
111	0.7495784867
112	0.7419993092
113	0.7321572828
114	0.7214928461
115	0.7138966102
116	0.7026896322
117	0.693391087
118	0.685664228
119	0.6751666837
120	0.6699881534
121	0.6610576271
122	0.6566084732
123	0.650040953
124	0.643489225
125	0.6351459538
126	0.6295445357
127	0.6236449449
128	0.6163396706
129	0.6095809724
130	0.604605242
131	0.6025543708
132	0.5966851137
133	0.5923686305
134	0.585774078
135	0.580368877
136	0.5756181426
137	0.5707648347
138	0.5663054101
139	0.5630690463
140	0.5587299704
141	0.5547220582
142	0.5520194784
143	0.5489902221
144	0.5459106109
145	0.542209257
146	0.5398100298
147	0.5356792668
148	0.531749155
149	0.529353513
150	0.5261952104
151	0.5228373825
152	0.5193677412
153	0.5162665296
154	0.5138794298
155	0.5109794844
156	0.5079101798
157	0.5052965504
158	0.5021433462
159	0.4995723705
160	0.4969757582
161	0.4946348991
162	0.4916010486
163	0.4898595465
164	0.4883253876
165	0.4868662974
166	0.4845290144
167	0.4817525762
168	0.4794146178
169	0.4773069756
170	0.4753356403
171	0.4736831348
172	0.4712302721
173	0.4690713311
174	0.4673861787
175	0.466391178
176	0.4648008319
177	0.4635704717
178	0.4617770451
179	0.4598909284
180	0.4579952417
181	0.4566060707
182	0.4553445821
183	0.4535102874
184	0.4516942019
185	0.4505844072
186	0.4493719013
187	0.4482065865
188	0.4467239044
189	0.4452328983
190	0.4435555272
191	0.4425152615
192	0.441049836
193	0.4400583159
194	0.4393819891
195	0.4379818216
196	0.4370011489
197	0.4359450151
198	0.4352706672
199	0.4340439764
200	0.4332527198
201	0.4319435452
202	0.4302992066
203	0.4287924837
204	0.4275526453
205	0.427053941
206	0.4263418221
207	0.4255337983
208	0.4248884264
209	0.4238717317
210	0.423281041
211	0.4213436928
212	0.4199423689
213	0.4189658208
214	0.4183065095
215	0.4174040121
216	0.4167309477
217	0.4158199545
218	0.4148100134
219	0.414084413
220	0.4133915325
221	0.4127279922
222	0.4120462015
223	0.4103420448
224	0.4097045667
225	0.4085421033
226	0.4073167381
227	0.4067551415
228	0.4053256921
229	0.4045069508
230	0.4036028578
231	0.4026387016
232	0.4014622773
233	0.4007522504
234	0.4002403793
235	0.3987293171
236	0.3981434383
237	0.3968983529
238	0.3962898138
239	0.3953409172
240	0.394844661
241	0.3942581738
242	0.3937953963
243	0.393250615
244	0.3924170434
245	0.3913571832
246	0.3904013603
247	0.3895345577
248	0.3887023654
249	0.3881541708
250	0.3860536109
251	0.3833979507
252	0.381882989
253	0.3814238221
254	0.3807802774
255	0.3798659281
256	0.3784834384
257	0.3772986636
258	0.3765600518
259	0.3757804416
260	0.3750800928
261	0.3726167587
262	0.370273961
263	0.3692524367
264	0.3681330563
265	0.3671036879
266	0.3666795067
267	0.3659982744
268	0.3650258444
269	0.3628987228
270	0.3622503081
271	0.3615186292
272	0.3608336255
273	0.3599957127
274	0.3595917355
275	0.3590104165
276	0.3585833877
277	0.3579984921
278	0.3567646876
279	0.3560700403
280	0.3540537757
281	0.3530712237
282	0.3514581652
283	0.3510903803
284	0.3502990072
285	0.3497043303
286	0.3491423388
287	0.3472922002
288	0.3469431324
289	0.3464295961
290	0.3447404143
291	0.3444086536
292	0.3439597917
293	0.3429717733
294	0.3420638989
295	0.3411646838
296	0.3395208729
297	0.3390338335
298	0.3379800822
299	0.3372843295
300	0.3365907749
301	0.3359612153
302	0.335127594
303	0.3348154479
304	0.3345156693
305	0.3338301243
306	0.3320763681
307	0.3312551433
308	0.3309836019
309	0.3306799489
310	0.3300867763
311	0.3295802266
312	0.3292897803
313	0.328482367
314	0.3269967559
315	0.3265200113
316	0.3250020848
317	0.3245476343
318	0.3240944239
319	0.3238175041
320	0.3224298102
321	0.3208978648
322	0.3203057525
323	0.3186500969
324	0.3172301002
325	0.3160091761
326	0.3153935147
327	0.3149915376
328	0.3142470418
