iter	Passed	Remaining
0	148	148249
1	149	74492
2	150	49896
3	151	37636
4	152	30276
5	153	25418
6	153	21842
7	154	19207
8	156	17183
9	157	15558
10	158	14223
11	159	13165
12	161	12241
13	162	11431
14	163	10727
15	164	10098
16	165	9559
17	166	9060
18	168	8683
19	168	8272
20	169	7906
21	170	7572
22	173	7386
23	174	7111
24	179	6984
25	179	6741
26	181	6527
27	182	6338
28	183	6138
29	184	5956
30	185	5789
31	186	5635
32	187	5500
33	190	5408
34	191	5281
35	195	5244
36	196	5124
37	198	5014
38	199	4917
39	203	4891
40	204	4790
41	206	4699
42	206	4602
43	212	4616
44	213	4536
45	214	4445
46	216	4391
47	218	4334
48	240	4673
49	242	4601
50	246	4582
51	247	4507
52	249	4456
53	250	4388
54	251	4322
55	252	4257
56	253	4198
57	255	4146
58	256	4089
59	257	4035
60	258	3983
61	260	3934
62	261	3892
63	263	3859
64	265	3813
65	266	3766
66	267	3720
67	268	3677
68	270	3646
69	271	3607
70	272	3566
71	275	3546
72	276	3506
73	277	3469
74	278	3438
75	279	3402
76	283	3392
77	284	3363
78	285	3329
79	291	3349
80	293	3332
81	294	3302
82	301	3332
83	302	3297
84	304	3274
85	305	3243
86	308	3240
87	312	3233
88	316	3236
89	317	3210
90	319	3190
91	320	3158
92	321	3136
93	322	3107
94	323	3085
95	324	3059
96	325	3031
97	326	3006
98	327	2982
99	329	2962
100	330	2938
101	331	2915
102	332	2893
103	333	2873
104	334	2853
105	335	2830
106	336	2808
107	337	2786
108	338	2765
109	339	2743
110	342	2740
111	343	2720
112	344	2700
113	345	2682
114	346	2664
115	347	2648
116	350	2644
117	351	2628
118	352	2610
119	355	2608
120	357	2593
121	359	2584
122	362	2582
123	366	2586
124	367	2569
125	368	2554
126	369	2538
127	373	2541
128	374	2528
129	375	2513
130	376	2498
131	377	2481
132	379	2471
133	380	2457
134	381	2445
135	382	2430
136	383	2416
137	387	2418
138	388	2404
139	389	2390
140	390	2377
141	391	2364
142	392	2351
143	393	2338
144	394	2325
145	395	2312
146	396	2300
147	397	2288
148	398	2277
149	399	2265
150	400	2253
